,,,,,,,,,,,,,,,,,,,,,,,,
,■ 「고흥 ○○ 국가산업단지 개발사업 조사설계 용역」 일정계획(안),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2025.02.06
,구  분,,,2025년,,,,,,,,,,,,,,,,,,,,
,,,,2월,,,,3월,,,,4월,,,,,5월,,,,6월,,,
,,,,"1주차
(2/3~2/7)","2주차
(2/10~2/14)","3주차
(2/17~2/21)","4주차
(2/24~2/28)","1주차
(3/4 ~ 3/7)","2주차
(3/10~3/14)","3주차
(3/17~3/21)","4주차
(3/24~3/28)","1주차
(3/31~4/4)","2주차
(4/7~4/11)","3주차
(4/14~4/18)","4주차
(4/21~4/25)","5주차
(4/28~5/2)","1주차
(5/7~5/9)","2주차
(5/12~5/16)","3주차
(5/19~2/23)","4주차
(5/26~5/30)","1주차
(6/2~6/5)","2주차
(6/9~6/13)","3주차
(6/16~6/20)","4주차
(6/23~6/27)"
,산업단지계획승인,1,산업단지계획 승인신청,,,,,,,,,,,,,,,,,,,,,
,,,1) 기초조사 및 현황조사,,,,,,,,,,,,,,,,,,,,,
,,,2) 측량 및 토질조사(별도),,,,,,,,,,,,,,,,,,,,,
,,,3) 산업단지계획,,,,,,,,,,,,,,,,,,,,,
,,,4) 에너지사용계획,,,,,,,,,,,,,,,,,,,,,
,,,5) 경관계획,,,,,,,,,,,,,,,,,,,,,
,,,6) 농지 및 산지협의,,,,,,,,,,,,,,,,,,,,,
,,,7) 도시관리계획(지구단위계획 포함),,,,,,,,,,,,,,,,,,,,,
,,,8) 교통영향평가(별도),,,,,,,,,,,,,,,,,,,,,
,,,9) 전략환경영향평가(별도),,,,,,,,,,,,,,,,,,,,,
,,,10) 재해영향평가(별도),,,,,,,,,,,,,,,,,,,,,
,,,11) 기본 및 실시설계,,,,,,,,,,,,,,,,,,,,,
,비고(주요일정 등),,,,,,,,,,,,,,,,,,,,,,,
,※ 상기일정은 구역계 및 토지이용계획 추가 변경 시 변경될 수 있음,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
