측    정    표,,,,,,,,,,,
,,,,,,,,,,,
* 대상종 : 맹꽁이(Kaloula borealis),,,,,,,,성남낙생,,,
No.,date,SVL(mm),BM(g),성체,,아성체,당년생,올챙이,알,비고,
,2022년,,,male,female,sub-adult,froglet,tadpole,egg,remark,
1.2,08월18(19)일,,,,,,,,,"보호펜스, trap 예초",
3.4,08월24(25)일,,,,,,,,,pitfall-trap 설치,
"   SVL : snout-vent length / BM : body mass (소수점 첫번째 자리까지 기록, 나머지 반올림)",,,,,,,,,,,
,,,,,,,,,,,
* 성체(adult) : svl 40 mm 내외,,,,,,,,,,,
  아성체(sub-adult) : 만 1년 이상의 미성숙(immature)한 개구리 / svl 30mm 내외,,,,,,,,,,,
  당년생(froglet) : 올해 변태를 마친 개구리 / svl 20mm 내외,,,,,,,,,,,
,,,,,,,,,,,
측    정    표,,,,,,,,,,,
,,,,,,,,,,,
* 대상종 : 맹꽁이(Kaloula borealis),,,,,,,,성남낙생,,,
No.,date,SVL(mm),BM(g),성체,,아성체,당년생,올챙이,알,비고,
,2022년,,,male,female,sub-adult,froglet,tadpole,egg,remark,
248,,,,,,,,,,,
249,,,,,,,,,,,
250,,,,,,,,,,,
251,,,,,,,,,,,
252,,,,,,,,,,,
253,,,,,,,,,,,
254,,,,,,,,,,,
255,,,,,,,,,,,
256,,,,,,,,,,,
257,,,,,,,,,,,
258,,,,,,,,,,,
259,,,,,,,,,,,
260,,,,,,,,,,,
261,,,,,,,,,,,
262,,,,,,,,,,,
263,,,,,,,,,,,
264,,,,,,,,,,,
265,,,,,,,,,,,
266,,,,,,,,,,,
267,,,,,,,,,,,
268,,,,,,,,,,,
269,,,,,,,,,,,
270,,,,,,,,,,,
271,,,,,,,,,,,
272,,,,,,,,,,,
273,,,,,,,,,,,
274,,,,,,,,,,,
275,,,,,,,,,,,
276,,,,,,,,,,,
277,,,,,,,,,,,
278,,,,,,,,,,,
279,,,,,,,,,,,
280,,,,,,,,,,,
281,,,,,,,,,,,
282,,,,,,,,,,,
,SUM1,,,40,22,35,46,0,0,,
,SUM2,,,143,,,,,,,
* 2022년 marking : 왼쪽 뒷발 - red,,,,,,,,,,,
,,,,,,,,,,,
 * 암컷과 수컷을 최소한 각각 30마리 씩 측정함,,,,,,,,,,,
"   SVL : snout-vent length / BM : body mass (소수점 첫번째 자리까지 기록, 나머지 반올림)",,,,,,,,,,,
,,,,,,,,,,,
* 성체(adult) : svl 40 mm 내외,,,,,,,,,,,
  아성체(sub-adult) : 만 1년 이상의 미성숙(immature)한 개구리 / svl 30mm 내외,,,,,,,,,,,
  당년생(froglet) : 올해 변태를 마친 개구리 / svl 20mm 내외,,,,,,,,,,,
,,,,,,,,,,,
측    정    표,,,,,,,,,,,
,,,,,,,,,,,
* 대상종 : 맹꽁이(Kaloula borealis),,,,,,,,성남낙생,,,
No.,date,SVL(mm),BM(g),성체,,아성체,당년생,올챙이,알,비고,
,2022년,,,male,female,sub-adult,froglet,tadpole,egg,remark,
283,,,,,,,,,,,
284,,,,,,,,,,,
285,,,,,,,,,,,
286,,,,,,,,,,,
287,,,,,,,,,,,
288,,,,,,,,,,,
289,,,,,,,,,,,
290,,,,,,,,,,,
291,,,,,,,,,,,
292,,,,,,,,,,,
293,,,,,,,,,,,
294,,,,,,,,,,,
295,,,,,,,,,,,
296,,,,,,,,,,,
297,,,,,,,,,,,
298,,,,,,,,,,,
299,,,,,,,,,,,
300,,,,,,,,,,,
301,,,,,,,,,,,
302,,,,,,,,,,,
303,,,,,,,,,,,
304,,,,,,,,,,,
305,,,,,,,,,,,
306,,,,,,,,,,,
307,,,,,,,,,,,
308,,,,,,,,,,,
309,,,,,,,,,,,
310,,,,,,,,,,,
311,,,,,,,,,,,
312,,,,,,,,,,,
313,,,,,,,,,,,
314,,,,,,,,,,,
315,,,,,,,,,,,
316,,,,,,,,,,,
317,,,,,,,,,,,
,SUM1,,,40,22,35,46,0,0,,
,SUM2,,,143,,,,,,,
* 2022년 marking : 왼쪽 뒷발 - red,,,,,,,,,,,
,,,,,,,,,,,
 * 암컷과 수컷을 최소한 각각 30마리 씩 측정함,,,,,,,,,,,
"   SVL : snout-vent length / BM : body mass (소수점 첫번째 자리까지 기록, 나머지 반올림)",,,,,,,,,,,
,,,,,,,,,,,
* 성체(adult) : svl 40 mm 내외,,,,,,,,,,,
  아성체(sub-adult) : 만 1년 이상의 미성숙(immature)한 개구리 / svl 30mm 내외,,,,,,,,,,,
  당년생(froglet) : 올해 변태를 마친 개구리 / svl 20mm 내외,,,,,,,,,,,
,,,,,,,,,,,
측    정    표,,,,,,,,,,,
,,,,,,,,,,,
* 대상종 : 맹꽁이(Kaloula borealis),,,,,,,,성남낙생,,,
No.,date,SVL(mm),BM(g),성체,,아성체,당년생,올챙이,알,비고,
,2022년,,,male,female,sub-adult,froglet,tadpole,egg,remark,
318,,,,,,,,,,,
319,,,,,,,,,,,
320,,,,,,,,,,,
321,,,,,,,,,,,
322,,,,,,,,,,,
323,,,,,,,,,,,
324,,,,,,,,,,,
325,,,,,,,,,,,
326,,,,,,,,,,,
327,,,,,,,,,,,
328,,,,,,,,,,,
329,,,,,,,,,,,
330,,,,,,,,,,,
331,,,,,,,,,,,
332,,,,,,,,,,,
333,,,,,,,,,,,
334,,,,,,,,,,,
335,,,,,,,,,,,
336,,,,,,,,,,,
337,,,,,,,,,,,
338,,,,,,,,,,,
339,,,,,,,,,,,
340,,,,,,,,,,,
341,,,,,,,,,,,
342,,,,,,,,,,,
343,,,,,,,,,,,
344,,,,,,,,,,,
345,,,,,,,,,,,
346,,,,,,,,,,,
347,,,,,,,,,,,
348,,,,,,,,,,,
349,,,,,,,,,,,
